iter	Passed	Remaining
940	11517	722
941	11527	709
942	11540	697
943	11551	685
944	11564	673
945	11576	660
946	11590	648
947	11603	636
948	11618	624
949	11631	612
950	11644	599
951	11655	587
952	11667	575
953	11680	563
954	11690	550
955	11701	538
956	11715	526
957	11727	514
958	11738	501
959	11750	489
960	11762	477
961	11773	465
962	11785	452
963	11799	440
964	11813	428
965	11826	416
966	11838	403
967	11850	391
968	11862	379
969	11876	367
970	11887	355
971	11899	342
972	11911	330
973	11923	318
974	11935	306
975	11947	293
976	11960	281
977	11972	269
978	11984	257
979	11997	244
980	12009	232
981	12020	220
982	12033	208
983	12045	195
984	12059	183
985	12070	171
986	12082	159
987	12095	146
988	12109	134
989	12123	122
990	12135	110
991	12149	97
992	12161	85
993	12174	73
994	12186	61
995	12197	48
996	12210	36
997	12223	24
998	12236	12
999	12249	0
